('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/df5c5a56-c741-4eb2-965c-48277df6c4df_bochum_000000_003005_edit.png', array([-0.3134752, -1.3126813], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/af91be62-2ac8-4027-9faf-b0bc02e54dc0_erfurt_000013_000019_edit.png', array([-0.4587289, -0.9999075], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/4bba9b8c-1672-46bb-9b3d-ced5db83fe06_cologne_000051_000019_edit.png', array([-0.32708508, -1.2766236 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/9013c045-58ec-46f0-a4bd-73928fd4203f_stuttgart_000015_000019_edit.png', array([-0.5862849, -0.8128108], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/8e16367b-b750-40f2-b69d-6c04da5bd39f_weimar_000110_000019_edit.png', array([-0.33596814, -1.2540241 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/d6ca19b5-fba3-49a2-b56b-d4d2f72f4653_dusseldorf_000133_000019_edit.png', array([-0.3857488, -1.1392508], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_change_person_color/ad96f2b5-f538-4e82-be2b-75d2863adec2_tubingen_000123_000019_edit.png', array([-0.5060283 , -0.92353034], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/dc2358bc-602d-4b08-a9b1-11aeed0d7013_aachen_000150_000019_edit.png', array([-0.3299539, -1.2692469], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/308c6b41-0de1-44a7-b03a-c29e903ab4b6_stuttgart_000120_000019_edit.png', array([-0.4042843, -1.1009784], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/fec8dc6b-ff3f-4560-9854-755345aef94f_weimar_000113_000019_edit.png', array([-0.3230955, -1.2870095], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/ec81680c-3a96-40aa-96f3-fa97851b564c_hanover_000000_048765_edit.png', array([-0.35451466, -1.2090315 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/0d798c14-6b92-497e-9e2b-7c55c69bef1e_ulm_000055_000019_edit.png', array([-0.35215586, -1.2145976 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/6407f347-c680-4bb3-9545-3c691546ddb2_ulm_000002_000019_edit.png', array([-0.5103517, -0.9170018], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/befa72b1-464a-4b43-9003-13195012ce3b_erfurt_000042_000019_edit.png', array([-0.6687592, -0.7181449], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/d586052e-df50-4dfd-8dba-c198be1e1cc7_ulm_000092_000019_edit.png', array([-0.6375805, -0.7519841], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/18cd33f5-d5a5-4063-952f-e1fd5a96baa5_strasbourg_000001_003676_edit.png', array([-0.5214492 , -0.90056384], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/2bf8669c-3a18-48c3-bfc7-3ebec8bc3263_weimar_000022_000019_edit.png', array([-0.31527656, -1.3078048 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/8791ebdd-a6c0-434b-ae66-44dc5dbcd008_ulm_000049_000019_edit.png', array([-0.33931834, -1.2456828 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/1e0d649b-48bc-4295-a8aa-2dcd0e382b60_stuttgart_000156_000019_edit.png', array([-0.31353486, -1.3125197 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/2a6c61bd-2f6c-48e4-a174-480c3457faa0_bremen_000118_000019_edit.png', array([-0.6857099 , -0.70064026], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/0eb86b56-ceec-43d7-95fc-7cc707511216_krefeld_000000_005503_edit.png', array([-0.5450116, -0.8671082], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/f63179c1-c1d7-42ad-95f2-c49c22f8e7c4_bremen_000122_000019_edit.png', array([-0.36764532, -1.1788337 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/65bdc7b2-629d-4142-b2ce-ee8e98865058_stuttgart_000040_000019_edit.png', array([-0.35007966, -1.219533  ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/18ad6805-0c68-4f5b-83a5-0281897c8460_bremen_000233_000019_edit.png', array([-0.31545103, -1.3073345 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/7bfa940b-a952-4aa9-a9f1-a1e2f2f87cfe_ulm_000044_000019_edit.png', array([-0.35223544, -1.214409  ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/32673259-29f3-4c2c-857f-872ca17b5671_dusseldorf_000182_000019_edit.png', array([-0.59997964, -0.79589534], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/509764f2-51da-41ea-814e-416761cdcbfc_bochum_000000_029721_edit.png', array([-0.52234125, -0.8992621 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/2664eedf-6838-4a93-9faf-eb1e6e9ad105_bremen_000091_000019_edit.png', array([-0.41309834, -1.0835184 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/cc915c5f-d944-4443-908a-42027ee337e0_bochum_000000_010562_edit.png', array([-0.31607264, -1.3056602 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/29f40c9e-e792-4711-9b45-c01234adc574_dusseldorf_000189_000019_edit.png', array([-0.58245575, -0.8176342 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/3f6ecc52-a78d-4ae3-ae35-2959080f14d3_ulm_000039_000019_edit.png', array([-0.450989 , -1.0133464], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/c785c675-8df2-44b4-8377-bc6b9ea2de88_bremen_000280_000019_edit.png', array([-0.5096267, -0.9180921], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/237f6fd6-cc66-43ff-b1eb-13b2db5a2c27_erfurt_000011_000019_edit.png', array([-0.52819115, -0.8907951 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/4d173058-a75b-4611-b94c-82c359231eb0_weimar_000110_000019_edit.png', array([-0.3192045, -1.2972836], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/47362ac2-9cf7-4211-9835-bc4e8dddbc9c_erfurt_000100_000019_edit.png', array([-0.69073963, -0.69556046], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/f5084293-a248-4951-8081-0b435bcc43ed_bochum_000000_028764_edit.png', array([-0.49431545, -0.9415786 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/ec227190-a781-4b90-ba93-d31f36f94630_bremen_000292_000019_edit.png', array([-0.54513806, -0.86693335], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/ae328bb6-a5a8-491d-8b3c-961970af235c_stuttgart_000049_000019_edit.png', array([-0.33434844, -1.2580923 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/bc54c458-e186-4c47-8fc4-02f82f318049_zurich_000097_000019_edit.png', array([-0.3984381, -1.1128163], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/94926193-44f1-422e-8fe1-c6c27b22c145_stuttgart_000148_000019_edit.png', array([-0.51306456, -0.9129418 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/9df9d6e6-0042-49b1-8aee-bbd673c2e3b1_stuttgart_000082_000019_edit.png', array([-0.5365954, -0.8788403], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/7a3d6ca2-d60b-4728-912f-c84bb24c8264_ulm_000086_000019_edit.png', array([-0.5384277 , -0.87626565], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/0b0a8778-55db-48d8-9d8b-4a327619f863_dusseldorf_000059_000019_edit.png', array([-0.4329098, -1.0458845], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/59c6e284-8568-4a56-80d1-6c74e2232bc8_hanover_000000_045657_edit.png', array([-0.31784594, -1.3009052 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_change_person_color/d980d2e3-9752-4373-b402-3a17196ead01_darmstadt_000041_000019_edit.png', array([-0.5435198, -0.8691704], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/f6d35738-4b11-45f7-8701-b8525dd4e679_dusseldorf_000184_000019_edit.png', array([-0.64902675, -0.7393044 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/5c94bb7e-4931-4d46-9e70-05c56118ad4c_weimar_000113_000019_edit.png', array([-0.3249721, -1.2821054], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/852e0fbf-d129-41d0-a510-78850eb7b456_tubingen_000023_000019_edit.png', array([-0.3683282, -1.1772983], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/4bb0b335-098b-45cc-8fe6-7fae424be0c7_bremen_000156_000019_edit.png', array([-0.41597217, -1.0779234 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/a0ce9506-89bd-4b5e-a969-21c9971a1287_hanover_000000_019456_edit.png', array([-0.497724 , -0.9362708], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/288479eb-ee63-48a4-9bf3-5b755c1bd001_dusseldorf_000054_000019_edit.png', array([-0.55066115, -0.85936344], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/a2bc9b55-ac77-42de-bcfc-754bcf2c285e_strasbourg_000001_064224_edit.png', array([-0.3982002, -1.1133024], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/f71377d6-6ccf-41e8-bb2d-ec4724860ce4_dusseldorf_000182_000019_edit.png', array([-0.47627634, -0.9704615 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/6551e38c-a1cc-446b-a5bc-9de3e1ecb760_erfurt_000049_000019_edit.png', array([-0.40434158, -1.1008633 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/add_car_check_perspective_rotated/fc7b6c21-1ffc-410b-98e4-2f4fb4c8d914_ulm_000008_000019_edit.png', array([-0.65744513, -0.73017144], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/9bba704e-748a-48b1-9559-67f973f9ea17_hamburg_000000_067223_edit.png', array([-0.45610118, -1.0044383 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/a71b47a3-2129-4a7c-8215-f569abf8f949_hamburg_000000_030953_edit.png', array([-0.6163138 , -0.77637875], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/8c5169e6-190e-4909-9bdc-84e29a9c4e42_hanover_000000_019456_edit.png', array([-0.3186971, -1.2986344], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/f3518feb-5eea-4d41-bd3e-196f7c28375c_jena_000011_000019_edit.png', array([-0.4310155, -1.0493902], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/7adf64eb-56f1-4583-8387-2c98ad63156b_darmstadt_000059_000019_edit.png', array([-0.53792024, -0.8769773 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/48e373b0-dee6-42a2-b75f-5cf47d4fe495_darmstadt_000059_000019_edit.png', array([-0.50379366, -0.92693233], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/4eb00544-cd66-4d53-a6e6-e808d0f49ca9_dusseldorf_000052_000019_edit.png', array([-0.42802024, -1.0549731 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/983ce568-12e9-4ae2-97a9-359181f0eb1e_stuttgart_000191_000019_edit.png', array([-0.39529365, -1.1192708 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/b2b4e62c-0521-4c17-b44f-0409978d78db_erfurt_000011_000019_edit.png', array([-0.6016959, -0.7938114], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/210da1ec-a955-47f6-ace1-f7c572ac58b2_hanover_000000_000381_edit.png', array([-0.44943327, -1.0160824 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/f1552c15-90ec-4e3c-82c5-f63dd1d7da0b_dusseldorf_000069_000019_edit.png', array([-0.57432747, -0.8280132 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/d11a42cf-2e83-417e-a1d9-e21c0eaed894_darmstadt_000006_000019_edit.png', array([-0.32395303, -1.284764  ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/ebe3be17-b777-4477-8f90-4aeb92430efa_dusseldorf_000102_000019_edit.png', array([-0.33835816, -1.2480639 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/dd1b2898-96f0-4a5c-aba5-bac8f2c8ca7e_aachen_000080_000019_edit.png', array([-0.6637388, -0.7234465], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/f7b1d059-4c0d-49c2-b568-ab8ad6e33747_hamburg_000000_077642_edit.png', array([-0.31526065, -1.3078479 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/832bdc5b-0017-4f32-a1da-9a0aea9d2dc7_zurich_000031_000019_edit.png', array([-0.31329954, -1.313159  ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/1f989357-5149-443f-b64b-9b96b5a4317e_dusseldorf_000028_000019_edit.png', array([-0.41020888, -1.0891919 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/cbe14dc6-651d-482d-af24-3b3f0009ec59_bremen_000119_000019_edit.png', array([-0.5402252 , -0.87375104], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/7225f3eb-5cec-4b8b-9185-4a7ed1cbc4bd_jena_000058_000019_edit.png', array([-0.33214837, -1.2636552 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/7026bb19-f585-4535-8f32-e53dc9d8032d_weimar_000052_000019_edit.png', array([-0.5549099 , -0.85360724], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/4cb06790-f8cf-4e91-8cd9-1cc218d932f3_bochum_000000_010562_edit.png', array([-0.322209 , -1.2893375], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/81ad9037-7cbd-4e9c-ab4c-b1be90f7e16c_krefeld_000000_035124_edit.png', array([-0.37817496, -1.155534  ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/d4b337ab-4917-4895-b136-777e52f9d0a0_stuttgart_000081_000019_edit.png', array([-0.5202846 , -0.90226793], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/05757555-6791-4268-b364-c01f6526789b_strasbourg_000000_018874_edit.png', array([-0.3871318, -1.1363189], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/a7ee862a-6cd3-4f1f-801b-a93d02da7915_jena_000038_000019_edit.png', array([-0.6720254 , -0.71472466], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/b56a7f36-0786-4931-878a-6cb87c6e0fc3_dusseldorf_000049_000019_edit.png', array([-0.4593308, -0.9988745], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/4a94041a-d595-48b7-9e90-adf50e43cda4_hanover_000000_024276_edit.png', array([-0.38891524, -1.1325569 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/34bc6397-c3a2-4b2e-b386-25fd1941df8e_bremen_000173_000019_edit.png', array([-0.43827838, -1.0360492 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/91ed7e5a-0188-4188-b84d-b9ce6e0d1c26_dusseldorf_000165_000019_edit.png', array([-0.32744962, -1.2756826 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/f1201d9a-fe40-4332-a47e-92113ee1fcc5_bremen_000048_000019_edit.png', array([-0.5415692, -0.8718782], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/e6a3411a-9e9d-44f4-bdf8-909dbed5dbfd_strasbourg_000001_014629_edit.png', array([-0.48723042, -0.9527612 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/0c3274ed-99fd-42cf-8145-90b8650b6e9e_strasbourg_000000_018874_edit.png', array([-0.49281472, -0.94393027], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/f16a5afa-050c-4c5a-b980-376ea474a3bc_dusseldorf_000153_000019_edit.png', array([-0.46951973, -0.9816363 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/16e836dc-304f-4ab0-9443-9aea32ffb03d_tubingen_000088_000019_edit.png', array([-0.45441604, -1.0073609 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/e548d0eb-a6ca-404f-be36-678640d3d8c3_stuttgart_000160_000019_edit.png', array([-0.4493394, -1.0162479], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/944553bd-6ac7-45fc-ad71-35b9f8323ffb_hanover_000000_046732_edit.png', array([-0.54753673, -0.8636335 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/549f7b46-3c5c-4191-a4f5-b4be24459c30_bochum_000000_001519_edit.png', array([-0.34832752, -1.2237258 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/85c2e88d-ae41-4331-9e64-35abf086722f_dusseldorf_000174_000019_edit.png', array([-0.33793133, -1.2491246 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/d14d9f0c-79ca-4666-b056-f524a33f73bc_zurich_000095_000019_edit.png', array([-0.31421316, -1.31068   ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/784428ab-6642-4483-9263-e76190d81c6c_dusseldorf_000028_000019_edit.png', array([-0.4241888, -1.0621852], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/1d0d8317-2e7e-4e4b-bded-dd06eaaafce3_dusseldorf_000099_000019_edit.png', array([-0.6286075, -0.7621413], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/d030b49f-6f0b-490e-bc82-065bfcc9b503_aachen_000151_000019_edit.png', array([-0.55909175, -0.84799707], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/6caa74fc-0865-4b84-83e2-0766e5c40128_ulm_000048_000019_edit.png', array([-0.3282708, -1.2735658], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/22d39e50-db29-4ded-be13-e897675b8333_bremen_000284_000019_edit.png', array([-0.32489967, -1.2822945 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/5b115a25-bdb6-4f34-8a15-7653447138f3_monchengladbach_000000_019142_edit.png', array([-0.31766242, -1.301396  ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/b6d8c5f4-2b40-47a9-83db-896da50abee7_tubingen_000088_000019_edit.png', array([-0.38082975, -1.1497821 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/eeffe4da-5c8a-4c34-a5e5-167f96140dbd_stuttgart_000077_000019_edit.png', array([-0.34120715, -1.2410228 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/e6bd2700-c2a0-4267-8c75-bee45d8859a4_cologne_000118_000019_edit.png', array([-0.33816248, -1.2485499 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/8a269463-36b4-49c3-b148-28c97eb0f520_stuttgart_000193_000019_edit.png', array([-0.39012337, -1.1300203 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/4d1c1dd7-3623-4160-ac08-fe931be2a3db_strasbourg_000001_014629_edit.png', array([-0.42177117, -1.0667766 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/rotated_car/23dd9da8-e786-43e8-88b7-e0ce9f619654_bochum_000000_006026_edit.png', array([-0.3132726, -1.3132323], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/4395e336-12ab-4f5b-80ca-efcd3c0af405_hanover_000000_045188_edit.png', array([-0.4901833 , -0.94807565], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/fdec0d9f-c488-425c-9659-38e3e241f62b_strasbourg_000000_018358_edit.png', array([-0.6067012, -0.7877795], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/46f9fc16-fb04-414d-b154-171b5cd42722_tubingen_000137_000019_edit.png', array([-0.33666837, -1.2522727 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/95c66f0c-b0b2-4fc2-80e1-cd5a2d1a04ce_dusseldorf_000184_000019_edit.png', array([-0.6593816, -0.7280928], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/64d742c0-3295-46a5-b220-159b65e78546_weimar_000124_000019_edit.png', array([-0.42612666, -1.0585275 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/872daaa8-1bba-4422-bc91-8b966723a61c_stuttgart_000124_000019_edit.png', array([-0.32974356, -1.2697853 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/23eaceb6-6b0a-43a9-9ac3-fd9db6f88a68_hamburg_000000_099368_edit.png', array([-0.3579901, -1.2009107], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/805ef24b-1667-4bde-940c-535113633c8d_aachen_000043_000019_edit.png', array([-0.31855595, -1.2990104 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/4cc701b1-a8b0-411c-b4f1-05cae0531777_tubingen_000140_000019_edit.png', array([-0.31327605, -1.3132228 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/561888b8-3bb8-488f-9432-8445dacd1888_weimar_000012_000019_edit.png', array([-0.47012007, -0.9806352 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/d1135c5c-1645-40e2-942d-1b371b840e80_bremen_000194_000019_edit.png', array([-0.56095576, -0.84551406], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/47f2c94a-8d81-44b5-bb63-d859424f8d14_dusseldorf_000202_000019_edit.png', array([-0.6713824, -0.7153963], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/be6fe36c-bf3a-4c1f-9e50-de75579db4f4_stuttgart_000191_000019_edit.png', array([-0.33100873, -1.2665536 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/444c05cf-8214-4c95-8681-c51bcd74095d_dusseldorf_000145_000019_edit.png', array([-0.6277152, -0.7631624], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/14d1dd38-7108-43f3-8938-cc75035c74b5_krefeld_000000_025434_edit.png', array([-0.5059287, -0.923681 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/8ef9c071-fd54-4818-8e6a-820f8941213f_stuttgart_000148_000019_edit.png', array([-0.35797405, -1.2009481 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/fe632649-d438-4931-af36-42b953e35aff_strasbourg_000000_000065_edit.png', array([-0.5164144 , -0.90796536], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/593fc3c8-57df-4e18-8a54-d82bfa5b61ae_stuttgart_000069_000019_edit.png', array([-0.6237794, -0.7676879], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/ebb4a9df-d7d4-4493-b370-c940f16e72a5_hanover_000000_042770_edit.png', array([-0.34729695, -1.2262032 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/6c00d2bd-93d6-4aa9-86e7-dd78bbe9da0d_stuttgart_000126_000019_edit.png', array([-0.31368858, -1.3121022 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/add_car_check_perspective_rotated/ec79b3d1-437d-4179-a474-bce79ac58b88_weimar_000002_000019_edit.png', array([-0.6286937, -0.7620429], dtype=float32))
